imc: *I,RUNLD: Successfully loaded run /home/student/kbajur/VDIC/lab08example/run/cov_work/scope/merged_results.
imc: *W,REPDEP: This is a legacy report and no future enhancement is planned for this report. It is recommended that you use the 'report_metrics' command and generate a dynamic report.
name                                     Overall Average      Overall Covered      Code Average         Code Covered         Fsm Average          Fsm Covered          Functional Average   Functional Covered   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
uvm_pkg                                  n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  
|--uvm_test_top                          n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  
| |--env_h                               n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  
| | |--class_tinyalu_agent_h             n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  
| | | |--coverage_h                      100.00%              100.00% (60/60)      n/a                  n/a                  n/a                  n/a                  100.00%              100.00% (60/60)      
| | |--module_tinyalu_agent_h            n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  n/a                  
| | | |--coverage_h                      92.68%               90.00% (54/60)       n/a                  n/a                  n/a                  n/a                  92.68%               90.00% (54/60)       
top                                      100.00%              100.00% (3/3)        100.00%              100.00% (3/3)        n/a                  n/a                  n/a                  n/a                  
|--class_bfm                             98.29%               97.67% (84/86)       98.29%               97.67% (84/86)       n/a                  n/a                  n/a                  n/a                  
|--class_dut                             100.00%              100.00% (86/86)      100.00%              100.00% (86/86)      n/a                  n/a                  n/a                  n/a                  
| |--u_single_cycle                      97.22%               98.28% (57/58)       97.22%               98.28% (57/58)       n/a                  n/a                  n/a                  n/a                  
| |--u_three_cycle                       100.00%              100.00% (79/79)      100.00%              100.00% (79/79)      n/a                  n/a                  n/a                  n/a                  
|--module_bfm                            98.29%               97.67% (84/86)       98.29%               97.67% (84/86)       n/a                  n/a                  n/a                  n/a                  
|--module_dut                            100.00%              100.00% (86/86)      100.00%              100.00% (86/86)      n/a                  n/a                  n/a                  n/a                  
| |--u_single_cycle                      97.22%               98.28% (57/58)       97.22%               98.28% (57/58)       n/a                  n/a                  n/a                  n/a                  
| |--u_three_cycle                       100.00%              100.00% (79/79)      100.00%              100.00% (79/79)      n/a                  n/a                  n/a                  n/a                  
|--stim_module                           98.28%               96.97% (32/33)       98.28%               96.97% (32/33)       n/a                  n/a                  n/a                  n/a                  
